Game Name,Rank in data1,Rank in data2
Counter-Strike 2,1,1
Dota 2,2,35
PUBG: BATTLEGROUNDS,3,4
Apex Legends™,4,2
Stardew Valley,5,29
NARAKA: BLADEPOINT,6,24
Tom Clancy's Rainbow Six® Siege,7,9
HELLDIVERS™ 2,8,3
Grand Theft Auto V,9,31
Dragon's Dogma 2,10,6
Wallpaper Engine,11,61
Warframe,14,8
Rust,15,37
Team Fortress 2,17,93
Baldur's Gate 3,18,14
Monster Hunter: World,19,97
Palworld,20,39
War Thunder,21,20
ELDEN RING,22,16
Dead by Daylight,25,15
EA SPORTS FC™ 24,28,10
Myth of Empires,30,72
Last Epoch,31,44
Destiny 2,33,11
The Sims™ 4,40,25
Overwatch® 2,42,95
Limbus Company,43,7
Cyberpunk 2077,44,51
Balatro,45,17
RimWorld,50,87
THE FINALS,52,21
Supermarket Simulator,53,22
Yu-Gi-Oh! Master Duel,54,49
Battlefield™ V,56,60
Battlefield™ 2042,57,23
Euro Truck Simulator 2,63,100
NBA 2K24,66,82
Horizon Forbidden West™ Complete Edition,69,13
Backpack Battles,70,62
Lethal Company,76,52
Granblue Fantasy: Relink,77,68
Crusader Kings III,83,63
Enshrouded,85,34
TEKKEN 8,88,58
The Elder Scrolls® Online,91,42
Phasmophobia,97,79
