Game Name,Current Players,Peak Today
Counter-Strike 2,"725,930","1,491,977"
Dota 2,"308,028","615,009"
PUBG: BATTLEGROUNDS,"259,659","637,297"
Apex Legends™,"145,375","387,994"
Stardew Valley,"97,299","178,483"
NARAKA: BLADEPOINT,"96,063","289,787"
Tom Clancy's Rainbow Six® Siege,"80,777","159,673"
HELLDIVERS™ 2,"78,557","213,859"
Grand Theft Auto V,"73,678","144,922"
Dragon's Dogma 2,"72,512","133,717"
Wallpaper Engine,"66,752","104,865"
Crab Game,"61,010","68,282"
Unturned,"50,807","54,544"
Warframe,"48,608","80,039"
Rust,"48,403","100,179"
Call of Duty®,"46,498","95,951"
Team Fortress 2,"44,162","60,027"
Baldur's Gate 3,"41,789","95,666"
Monster Hunter: World,"38,642","98,411"
Palworld,"36,660","74,502"
War Thunder,"36,187","72,447"
ELDEN RING,"32,389","63,873"
Governor of Poker 3,"31,611","31,611"
PAYDAY 2,"30,807","32,231"
Dead by Daylight,"30,453","60,139"
Sid Meier’s Civilization® VI,"30,363","53,452"
Football Manager 2024,"27,698","65,742"
EA SPORTS FC™ 24,"26,723","64,183"
Don't Starve Together,"25,890","39,844"
Myth of Empires,"25,344","30,661"
Last Epoch,"24,460","46,972"
VRChat,"23,658","30,608"
Destiny 2,"22,562","40,271"
"Lost Ark
(not available in your region)","22,388","43,710"
"MIR4
(not available in your region)","21,502","22,884"
DayZ,"21,346","52,003"
Hearts of Iron IV,"20,797","44,263"
Red Dead Redemption 2,"20,217","40,667"
Terraria,"19,389","37,192"
The Sims™ 4,"19,333","36,368"
Hero's Land,"18,209","26,049"
Overwatch® 2,"18,066","35,728"
Limbus Company,"17,855","26,694"
Cyberpunk 2077,"17,573","34,420"
Balatro,"16,986","26,612"
tModLoader,"16,888","30,560"
Project Zomboid,"15,909","27,912"
7 Days to Die,"15,879","31,514"
Left 4 Dead 2,"15,805","32,399"
RimWorld,"15,028","23,345"
ARK: Survival Evolved,"14,540","28,226"
THE FINALS,"14,059","29,117"
Supermarket Simulator,"13,832","29,389"
Yu-Gi-Oh! Master Duel,"13,728","24,542"
Garry's Mod,"13,279","30,854"
Battlefield™ V,"13,243","38,736"
Battlefield™ 2042,"13,213","31,209"
"Black Desert
(not available in your region)","13,193","19,061"
"FINAL FANTASY XIV Online
(not available in your region)","13,068","27,787"
Mount & Blade II: Bannerlord,"12,883","26,608"
The Elder Scrolls V: Skyrim Special Edition,"12,360","24,537"
Russian Fishing 4,"11,737","19,961"
Euro Truck Simulator 2,"11,637","39,396"
Total War: WARHAMMER III,"11,601","23,416"
SCUM,"11,470","21,330"
NBA 2K24,"11,317","22,282"
Crosshair X,"11,313","19,929"
The Binding of Isaac: Rebirth,"11,124","22,909"
Horizon Forbidden West™ Complete Edition,"10,957","28,521"
Backpack Battles,"10,853","20,054"
Age of Empires II: Definitive Edition,"10,731","22,818"
VPet-Simulator,"10,626","15,442"
Farming Simulator 22,"10,553","36,561"
"雀魂麻將(MahjongSoul)
(not available in your region)","10,519","23,358"
Cookie Clicker,"10,202","13,017"
Lethal Company,"10,180","26,832"
Granblue Fantasy: Relink,"10,104","22,247"
Sid Meier's Civilization® V,"9,934","18,191"
Geometry Dash,"9,720","21,661"
Fallout 4,"9,662","18,431"
Street Fighter™ 6,"9,624","23,400"
Hunt: Showdown,"9,606","27,910"
Crusader Kings III,"9,589","20,510"
Slay the Spire,"9,514","16,840"
Enshrouded,"9,195","26,296"
MONSTER HUNTER RISE,"8,713","21,629"
Soundpad,"8,664","17,463"
TEKKEN 8,"8,584","13,712"
Stellaris,"8,477","14,193"
Rocket League®,"8,455","35,084"
The Elder Scrolls® Online,"8,446","17,334"
Europa Universalis IV,"8,267","18,219"
ARK: Survival Ascended,"8,211","15,451"
Valheim,"7,893","23,403"
OBS Studio,"7,745","14,030"
Cities: Skylines,"7,662","12,871"
Phasmophobia,"7,651","26,017"
Factorio,"7,602","15,147"
The Witcher® 3: Wild Hunt,"7,587","17,176"
IdleOn - The Idle MMO,"7,524","9,680"
