게임 이름,게임 가격
Counter-Strike 2,Free To Play
Apex Legends™,Free To Play
HELLDIVERS™ 2,"₩ 44,800"
PUBG: BATTLEGROUNDS,Free To Play
Steam Deck,"₩ 91,400"
Dragon's Dogma 2,Free To Play
Limbus Company,Free To Play
Warframe,"₩ 22,400"
Tom Clancy's Rainbow Six® Siege,"₩ 15,400"
EA SPORTS FC™ 24,Free To Play
Destiny 2,"₩ 69,800"
HELLDIVERS™ 2 Super Citizen Edition,"₩ 62,800"
Horizon Forbidden West™ Complete Edition,"₩ 66,000"
Baldur's Gate 3,"₩ 21,000"
Dead by Daylight,"₩ 64,800"
ELDEN RING,"₩ 14,850"
Balatro,"₩ 84,500"
Call of Duty®: Modern Warfare® III,"₩ 3,300"
Titanfall® 2,Free To Play
War Thunder,Free To Play
THE FINALS,"₩ 14,500"
Supermarket Simulator,"₩ 9,900"
Battlefield™ 2042,Free To Play
NARAKA: BLADEPOINT,Free To Play
The Sims™ 4,"₩ 44,000"
Millennia,"₩ 32,000"
SOUTH PARK: SNOW DAY!,"₩ 8,940"
Green Hell & Official Soundtrack Bundle,"₩ 16,000"
Stardew Valley,"₩ 11,000"
